"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 30 22:04:53 GMT 2024","Wed Oct 30 22:04:55 GMT 2024","1871","Тесты для демонстрации работы Allure","Тесты","Tests","Tests","positiveTest","Тест кейс 1","Тест получение списка"
"passed","Wed Oct 30 22:04:55 GMT 2024","Wed Oct 30 22:04:55 GMT 2024","239","Тесты для демонстрации работы Allure","Тесты","Tests","Tests","negativeTest","Тест кейс 2","Тест на авторизацию"
